Fuel [kg/s],Air [kg/s],Air [C],Catalyst_Porosity,O2 [%],Fuel_outlet_temp
2.0594762572410687e-05,0.00019826939157183477,631.0376027062488,0.1932406449148184,4.89602298717889,451.09381576415046
2.2151426822602624e-05,0.0001967380824323117,654.7833847845138,0.19544103693418285,5.042291642873419,467.86261850953565
2.1146463857408146e-05,0.00021008993558539543,649.6042510311365,0.2061043321359796,4.889291359365514,468.2267414117913
2.4230143306933713e-05,0.00019213824778456975,689.2858705511032,0.198861798306673,5.138710949716908,457.0326202770575
2.146905376461072e-05,0.00020950566321673562,646.0810159537867,0.22306305667601495,4.589974110243624,484.85999169889504
2.34284982687172e-05,0.0002160506781264935,633.6069374593443,0.1967531127614837,4.965623373696953,411.7529778913194
2.426415188137773e-05,0.00021139597262255004,733.3740135642089,0.19580045444980712,4.898028113870403,429.78759309571126
2.619865792697043e-05,0.00019544669402484662,648.75890229838,0.200388067901209,5.170234381509701,431.2176105933529
2.704161411517165e-05,0.00019480595265478578,693.8037573960069,0.2037700312952524,4.795987841179265,469.24660713800364
2.8440869656073207e-05,0.00021687380389938472,648.3391370101712,0.20280364947794824,5.12260638773237,503.6194634931376
2.8701493663781486e-05,0.00020914745446915637,685.793218753144,0.20753034270754508,4.667119296837725,467.0948190401282
2.994958265560354e-05,0.00018475050474073894,636.2236574601881,0.20091669793877148,4.957249163297363,485.15031519721856
2.9684891226931534e-05,0.00021557906490178363,679.6846732048587,0.2026074404032808,5.126279219924051,446.8375346521032
3.2784801550417074e-05,0.00021472287514803863,605.5673060723534,0.2071314036330353,4.734823327235514,458.3722312126422
3.3648122811529135e-05,0.00020581469959904064,645.5187361422508,0.19429436734964536,5.046124738208343,449.27190552248226
3.223500277558291e-05,0.00021411360715642213,654.9416215412298,0.1973720369709004,4.873415885757736,482.0104331961212
3.414170850816858e-05,0.0002100143451642011,656.0954425632227,0.186062394893939,4.907426874204581,440.8018813164596
3.495897623505815e-05,0.00019627701943877746,655.254253422439,0.20082209699484727,4.636518528813627,444.99137052761216
3.5891538582676855e-05,0.0002055990051248036,666.5517608312975,0.20484043691866813,5.262595443829834,492.11087467009264
3.6039253131808115e-05,0.00021587084670031742,665.9581005695376,0.2129393404002612,4.896989504581369,510.6038855070671
3.6012903567242315e-05,0.00021102615720043486,612.8939663289682,0.2105894667392812,4.995002860210482,469.9134931665271
4.013540963875599e-05,0.00021021179384304474,641.2627994369401,0.2051568660438142,4.838140637395953,469.56916745148135
3.9642579960020795e-05,0.00022153484283378075,648.6386049460099,0.20199305435516698,4.9143380683830955,470.0346221184695
3.93358279470068e-05,0.00020253897883089683,635.510547764497,0.21473143185193072,5.089933778421613,446.2784787541857
4.053403106375692e-05,0.00020813716411108359,621.9821414361329,0.19669024352293835,4.857639485781736,459.40743713680325
4.204340694253551e-05,0.00022428926481896357,629.7137201076695,0.21663585887976347,4.914908167149335,436.17490585180036
4.354326128556509e-05,0.0002196030659140516,697.5695852003562,0.20825570233069887,5.125706608828881,457.9853511583221
4.208678705006132e-05,0.00023334710438219675,678.2758278080964,0.2116423287994797,4.78221683712033,460.2483151847636
4.4127776203640756e-05,0.00022306820395114654,635.1078213838382,0.21389176551051403,5.519568785052499,456.36578113850726
4.7591297207602725e-05,0.0002404157960434733,664.3425621352241,0.19425933147003283,4.617547830860402,454.696430173655
4.484649799582244e-05,0.0002339157810777406,682.1439769165524,0.21857220393982277,4.82043780056615,464.88280390731677
4.85728414630788e-05,0.0002147615301113324,669.0481248837535,0.21488280237152013,5.046694899603477,456.7033224425364
4.5426542597834076e-05,0.0002210420884845543,733.3671914215248,0.21416905650312534,4.977947474298229,446.716446177728
4.8867670490062246e-05,0.0002063584232406178,623.8137228869498,0.22292152957582465,4.958243265368833,480.90440071899366
